Website,Domain,Error Code,Redirected URL
http://www.apa.org/about/division/activities/dive-student.pdf  ,www.apa.org,404,
http://www.totaljobs.com/careers-advice/job-profile/finance-jobs/assistant-bank-manager-job-description ,www.totaljobs.com,,
http://www.westerlyccu.com/Documents/Asst%20Branch%20Manager%20Job%20Description%200609.pdf ,www.westerlyccu.com,404,
http://money.usnews.com/careers/best-jobs/business-operations-manager ,money.usnews.com,,
http://money.usnews.com/careers/best-jobs/management-analyst ,money.usnews.com,,
https://www.shrm.org/resourcesandtools/tools-and-samples/job-descriptions/pages/cms_007469.aspx ,www.shrm.org,404,
http://www.marketresearchcareers.com/jdmarketresearchanalyst.aspx ,www.marketresearchcareers.com,404,
http://allhealthcare.monster.com/training/articles/812-career-guide-medical-and-health-services-managers ,allhealthcare.monster.com,404,
http://www.quintcareers.com/pharmaceutical_sales_careers.html ,www.quintcareers.com,,
http://www.snagajob.com/job-descriptions/real-estate-agent/ ,www.snagajob.com,404,
https://www.totaljobs.com/careers-advice/job-profile/HR-jobs/training-and-development-manager-job-description ,www.totaljobs.com,,
http://www.onlinehumanresources.net/human-resources-training-and-development.html ,www.onlinehumanresources.net,405,
https://www.chegg.com/career-center/explore/training-and-development-specialist ,www.chegg.com,403,
http://www.insidejobs.com/careers/public-relations-representative ,www.insidejobs.com,,
http://www.siop.org/guidelines.aspx ,www.siop.org,404,
http://health.usnews.com/health-news/health-wellness/articles/2014/07/07/7-facts-about-child-life-specialists ,health.usnews.com,,
http://www.socialworklicensure.org/articles/social-worker-vs-child-welfare-worker.html ,www.socialworklicensure.org,404,
http://www.easternflorida.edu/community-resources/child-development-centers/parent-resource-library/documents/daunting-but-rewarding-job.pdf ,www.easternflorida.edu,404,
http://www.phoenixservices.org/jobs/professional-parent-job-description ,www.phoenixservices.org,404,
http://emqff.org/services/professionalparents/ ,emqff.org,,
http://www.abpp.org/i4a/pages/index.cfm?pageid=3303 ,www.abpp.org,404,
http://www.apa.org/action/science/counseling/index.aspx ,www.apa.org,404,
http://www.allpsychologycareers.com/career/multi-cultural-counselor.html ,www.allpsychologycareers.com,404,
http://hccnj.com/careers/chaplain-counselor/ ,hccnj.com,,
http://www.nacacnet.org/career-center/Tools/JobDescriptions/Pages/GuidanceCounselor.aspx ,www.nacacnet.org,403,
http://wvde.state.wv.us/counselors/job-description.doc ,wvde.state.wv.us,404,
http://www.glitc.org/forms/employment/vocational-rehabilitation-counselor-03-13.pdf ,www.glitc.org,404,
http://usfweb2.usf.edu/human-resources/pdfs/class-comp/job-codes/1104.pdf ,usfweb2.usf.edu,,
http://www.supportingadvancement.com/employment/job_descriptions/alumni/dir_alumni_relations.htm ,www.supportingadvancement.com,404,
https://www.mdc.edu/hr/Compensation/Full-Time_Job_Descriptions/Validated/2940_Alumni_Relations_Officer.pdf ,www.mdc.edu,401,
http://usfweb2.usf.edu/human-resources/pdfs/class-comp/job-codes/1114.pdf ,usfweb2.usf.edu,,
http://money.usnews.com/careers/best-jobs/preschool-teacher ,money.usnews.com,,
https://www.chegg.com/career-center/explore/training-and-development-specialist ,www.chegg.com,403,
http://www.nacacnet.org/career-center/Tools/JobDescriptions/Pages/TranscriptEvaluator.aspx ,www.nacacnet.org,403,
https://labor.idaho.gov/DHR/ATS/statejobs/Specs.aspx?description=true&Class_No=01170 ,labor.idaho.gov,404,
http://www.managementhelp.org/evaluatn/fnl_eval.htm ,www.managementhelp.org,,
http://www.wisegeek.com/what-does-an-academic-dean-do.htm#didyouknowout ,www.wisegeek.com,404,
http://online.notredamecollege.edu/masters-education-degree/how-to-become-an-instructional-coordinator/ ,online.notredamecollege.edu,404,
http://www.docs.csg.ed.ac.uk/HumanResources/JDs/8-e-Learning_Developer_(MVM).pdf ,www.docs.csg.ed.ac.uk,404,
http://www.aldine.k12.tx.us/pdfs/bpPDFs/BP2097.pdf ,www.aldine.k12.tx.us,,
http://www.hcisd.org/Page/1567 ,www.hcisd.org,404,
http://www.acui.org/content.aspx?menu_id=206&id=138 ,www.acui.org,,
http://health.usnews.com/health-news/health-wellness/articles/2014/07/07/7-facts-about-child-life-specialists ,health.usnews.com,,
https://www.sokanu.com/careers/fitness-and-wellness-coordinator/ ,www.sokanu.com,404,
http://www.ndworksitewellness.org/docs/step2-sample-wellness-jobs.pdf ,www.ndworksitewellness.org,,
https://bloomington.in.gov/media/media/application/pdf/13765.pdf ,bloomington.in.gov,404,
http://www.newenglandcollegeonline.com/resources/healthcare-administration/healthcare-administrator-career-outlook-and-salary/#.VUp19vlVhBc ,www.newenglandcollegeonline.com,404,
http://www.ece.emory.edu/health_coach/ ,www.ece.emory.edu,404,
http://hire.proscribemd.com/become-a-scribe/?gclid=CjwKCAiAvMPRBRBIEiwABuO6qfs50r2hAR0sJw2lzZDxBPWttsHjGC8jj8otPLi_XbuzCqjnXae-FRoCbaUQAvD_BwE ,hire.proscribemd.com,404,
http://allhealthcare.monster.com/training/articles/812-career-guide-medical-and-health-services-managers ,allhealthcare.monster.com,404,
http://www.snagajob.com/job-descriptions/patient-advocate-job-description/ ,www.snagajob.com,404,
http://www.quintcareers.com/pharmaceutical_sales_careers.html ,www.quintcareers.com,,
https://www.kansashealthsolutions.org/providers/download.php?id=756&filename=Behavioral%20Health%20Consultant%20Job%20Description.pdf ,www.kansashealthsolutions.org,405,
http://www.cfha.net/blogpost/753286/159153/On-Boarding-New-Behavioral-Health-Consultants-into-Primary-Care ,www.cfha.net,404,
http://www.ibhp.org/index.php?section=pages&cid=110 ,www.ibhp.org,,
http://www.aacap.org/aacap/Families_and_Youth/Facts_for_Families/Facts_for_Families_Pages/The_Child_And_Adolescent_Psychiatrist_00.aspx ,www.aacap.org,404,
http://money.usnews.com/careers/best-jobs/epidemiologist ,money.usnews.com,,
http://hospitalmedicine.ucsd.edu/people/about.shtml ,hospitalmedicine.ucsd.edu,404,
http://www.healthcommunities.com/health-care-providers/what-is-an-internist.shtml ,www.healthcommunities.com,,
http://www.healthcarecareers.org/family-and-general-practitioner/ ,www.healthcarecareers.org,405,
http://www.cchs-nc.com/wp-content/themes/cchs/pdf/OutpatientTherapist.pdf ,www.cchs-nc.com,404,
http://familyinnovations.com/licensed-outpatient-therapist-job-description/ ,familyinnovations.com,404,
http://www.naturopathic.org/content.asp?contentid=60 ,www.naturopathic.org,403,
http://cgu.edu/pages/8773.asp ,cgu.edu,404,
http://www.mdguidelines.com/program-specialist-employee-health-maintenance ,www.mdguidelines.com,404,
http://www.calmis.ca.gov/file/occguide/emplint.htm ,www.calmis.ca.gov,,
http://www.wisegeek.com/what-does-a-human-resources-advisor-do.htm ,www.wisegeek.com,404,
http://www.job-analysis.net/G000.htm ,www.job-analysis.net,,
http://www.mba-today.com/hr-career/occupational-analyst.html ,www.mba-today.com,405,
https://www.totaljobs.com/careers-advice/job-profile/HR-jobs/training-and-development-manager-job-description ,www.totaljobs.com,,
http://www.onlinehumanresources.net/human-resources-training-and-development.html ,www.onlinehumanresources.net,405,
https://www.chegg.com/career-center/explore/training-and-development-specialist ,www.chegg.com,403,
http://www.unicef.org/ceecis/UNICEF_report_on_the_role_of_social_work_in_juvenile_justice.pdf ,www.unicef.org,403,
http://ampulse.com/paralegal-job-description/ ,ampulse.com,403,
https://www.cia.gov/careers/opportunities/support-professional/polygraph-examiner.html ,www.cia.gov,404,
http://www.eduers.com/JobDescriptions/Polygraph_Examiner.html ,www.eduers.com,,
http://www.drkit.org/forensiclegalpsych/ ,www.drkit.org,404,
http://www.med.navy.mil/sites/nmotc/nami/aeromedqual/Pages/OperationalPsychology.aspx ,www.med.navy.mil,404,
http://www.goarmy.com/careers-and-jobs/browse-career-and-job-categories/combat/infantry-officer.html ,www.goarmy.com,404,
http://army.com/info/mos/military-intelligence-officer ,army.com,,
http://www.goarmy.com/careers-and-jobs/browse-career-and-job-categories/intelligence-and-combat-support/military-intelligence-officer.html ,www.goarmy.com,404,
http://mycareeratva.va.gov/careers/career/096200 ,mycareeratva.va.gov,,
http://www.upmatters.com/story/d/story/veterans-counselor-position-added-to-ballot/10189/9QeCODkglUKixSSQcp_uMg ,www.upmatters.com,403,
http://www.wcyb.com/news/veteran-career-counseling-in-johnson-city/28031628 ,www.wcyb.com,404,
http://www.goarmy.com/careers-and-jobs/amedd-categories/medical-service-corps-jobs/clinical-psychologist.html ,www.goarmy.com,404,
http://www.goarmy.com/careers-and-jobs/browse-career-and-job-categories/administrative-support/chaplain.html ,www.goarmy.com,404,
http://www.forces.ca/en/job/chaplain-55 ,www.forces.ca,404,
http://www.wrnmmc.capmed.mil/ResearchEducation/GME/Shared%20Documents/Internship%20Slides%20Updated%20for%202011.pdf ,www.wrnmmc.capmed.mil,,
http://www.med.navy.mil/sites/nmotc/nami/aeromedqual/Pages/OperationalPsychology.aspx ,www.med.navy.mil,404,
http://education.cu-portland.edu/blog/teaching-careers/psychology-teacher/ ,education.cu-portland.edu,,
http://www.abpp.org/i4a/pages/index.cfm?pageid=3303 ,www.abpp.org,404,
http://www.goarmy.com/careers-and-jobs/amedd-categories/medical-service-corps-jobs/clinical-psychologist.html ,www.goarmy.com,404,
http://www.gradpsych-digital.org/gradpsych/201511?pg=30#pg30 ,www.gradpsych-digital.org,,
http://www.christianpsych.org/ ,www.christianpsych.org,,
http://video.about.com/psychology/Overview-of-Cognitive-Psychology.htm ,video.about.com,,
http://www.apa.org/action/science/brain-science/index.aspx ,www.apa.org,404,
http://www.psychoid.net/consulting-psychology-helping-individuals-organizations.html ,www.psychoid.net,404,
http://www.abpp.org/i4a/pages/index.cfm?pageid=3499 ,www.abpp.org,404,
http://www.apa.org/action/science/environment/index.aspx ,www.apa.org,404,
http://www.dianafleischman.com/epap.pdf ,www.dianafleischman.com,404,
http://www.apa.org/action/science/experimental/index.aspx ,www.apa.org,404,
http://allpsychologyprograms.com/category/psychology-specialties/humanistic-psychology/ ,allpsychologyprograms.com,,
http://www.siop.org/guidelines.aspx ,www.siop.org,404,
http://www.allpsychologycareers.com/topics/occupational-health-psychology.html ,www.allpsychologycareers.com,404,
http://www.med.navy.mil/sites/nmotc/nami/aeromedqual/Pages/OperationalPsychology.aspx ,www.med.navy.mil,404,
http://www.coca-colacompany.com/stories/sound-science-music-psychologist-on-what-makes-a-happy-song ,www.coca-colacompany.com,404,
http://www.wrnmmc.capmed.mil/ResearchEducation/GME/Shared%20Documents/Internship%20Slides%20Updated%20for%202011.pdf ,www.wrnmmc.capmed.mil,,
http://www.bdp-gus.de/gus/Positive-Psychologie-Aufruf-2000.pdf ,www.bdp-gus.de,404,
http://cgu.edu/pages/8773.asp ,cgu.edu,404,
http://www.apa.org/action/science/quantitative/index.aspx ,www.apa.org,404,
http://www.div17.org/vocpsych/ ,www.div17.org,404,
http://www.div17.org/vocpsych/pages/about.htm ,www.div17.org,404,
http://www.folcroft.org/policies/youthmjd.htm ,www.folcroft.org,404,
http://www.vaumc.org/NCFileRepository/BOM/SPRC/YouthJobDescription.doc ,www.vaumc.org,404,
http://www.christianpsych.org/ ,www.christianpsych.org,,
http://www.goarmy.com/careers-and-jobs/browse-career-and-job-categories/administrative-support/chaplain.html ,www.goarmy.com,404,
http://www.forces.ca/en/job/chaplain-55 ,www.forces.ca,404,
http://hccnj.com/careers/chaplain-counselor/ ,hccnj.com,,
http://info.dhhs.state.nc.us/olm/manuals/dss/csm-10/man/CSs1201c4-03.htm ,info.dhhs.state.nc.us,,
http://money.usnews.com/careers/best-jobs/child-and-family-social-worker ,money.usnews.com,,
http://www.socialworklicensure.org/articles/social-worker-vs-child-welfare-worker.html ,www.socialworklicensure.org,404,
http://www.socialworklicensure.org/types-of-social-workers/community-social-workers.html ,www.socialworklicensure.org,404,
http://www.allpsychologycareers.com/career/disability-policy-worker.html ,www.allpsychologycareers.com,404,
http://www.allpsychologycareers.com/career/disability-case-manager.html ,www.allpsychologycareers.com,404,
https://www.adhc.nsw.gov.au/careers/discover_career_paths/career_as_a_disability_support_worker ,www.adhc.nsw.gov.au,,
http://www.codasouth.org/documents/Form_F1847-Position_Description_Disability_Support_Worker.pdf ,www.codasouth.org,,
http://www.allpsychologycareers.com/career/social-gerontologist.html ,www.allpsychologycareers.com,404,
http://samples.jbpub.com/9780763756055/56055_CH02_Chop.pdf ,samples.jbpub.com,403,
http://samples.jbpub.com/9780763756055/56055_ch02_chop.pdf ,samples.jbpub.com,403,
https://www.sokanu.com/careers/fitness-and-wellness-coordinator/ ,www.sokanu.com,404,
http://www.ndworksitewellness.org/docs/step2-sample-wellness-jobs.pdf ,www.ndworksitewellness.org,,
https://bloomington.in.gov/media/media/application/pdf/13765.pdf ,bloomington.in.gov,404,
http://www.maca.gov.nt.ca/school/tools/JD_docs/Recreation%20Leader%20JD.pdf ,www.maca.gov.nt.ca,404,
http://pushing-boundaries.org/about_us/faq/what-is-exercise-therapy/ ,pushing-boundaries.org,404,
http://jobfunctions.bnet.com/abstract.aspx?docid=321911 ,jobfunctions.bnet.com,,
http://www.newenglandcollegeonline.com/resources/computer-science/software-developer-job-description-and-salary/#.VRlVVvnF_Ak ,www.newenglandcollegeonline.com,404,
"https://www.glassdoor.com/Job/user-experience-analyst-jobs-SRCH_KO0,23.htm ",www.glassdoor.com,403,
http://www.jstor.org/discover/10.2307/2393007?uid=2&uid=4&sid=21106746011093 ,www.jstor.org,403,
http://usmilitary.about.com/od/officerjobs/a/62ex.htm ,usmilitary.about.com,,
http://www.theartcareerproject.com/combine-work-and-play-information-about-video-game-design/93/ ,www.theartcareerproject.com,404,
http://otaonline.stkate.edu/blog/7-steps-becoming-occupational-therapy-assistant/ ,otaonline.stkate.edu,404,
http://money.usnews.com/careers/best-jobs/occupational-therapy-assistant ,money.usnews.com,,
http://familyinnovations.com/licensed-outpatient-therapist-job-description/ ,familyinnovations.com,404,
http://www.cchs-nc.com/wp-content/themes/cchs/pdf/OutpatientTherapist.pdf ,www.cchs-nc.com,404,
http://www.allpsychologycareers.com/career/primary-therapist.html ,www.allpsychologycareers.com,404,
http://www.indeed.com/cmp/Healthcare-Management-Company/jobs/Primary-Therapist-757e5d04e52963e9?sjdu=QwrRXKrqZ3CNX5W-O9jEvUg4h0AbpradtP77KypS_tlPxLg85xW_sOCF1hz8Nvl-hp11ZN4sS4ajG7848KDVhg ,www.indeed.com,403,
http://www.recoveryranch.com/staff-stories/an-interview-with-linda-hardy-primary-therapist/ ,www.recoveryranch.com,404,
http://www.promises.com/articles/promises-staff-stories/an-interview-with-dr-alexander-bacher-primary-therapist/ ,www.promises.com,404,
http://www.crchealth.com/types-of-therapy/reality-therapy/ ,www.crchealth.com,404,
http://www.mayoclinic.org/tests-procedures/sex-therapy/basics/why-its-done/prc-20020669 ,www.mayoclinic.org,,
http://www.gardencityga.org/Modules/ShowDocument.aspx?documentid=174 ,www.gardencityga.org,404,
http://www.snagajob.com/job-descriptions/flight-attendant/ ,www.snagajob.com,404,
https://www.totaljobs.com/careers-advice/job-profile/travel-leisure-jobs/flight-attendant-job-description ,www.totaljobs.com,,
http://www.snagajob.com/job-descriptions/research-assistant/ ,www.snagajob.com,404,
http://www.newenglandcollegeonline.com/resources/marketing/survey-researcher-job-description-and-salary/#.WBc7Cy0rKpo ,www.newenglandcollegeonline.com,404,
http://createacareer.org/social-sciences/survey-researcher-careers/ ,createacareer.org,,
